Organization - Name,Organization - Address,Geocoded Address,Latitude,Longitude,Organization - Locality,Organization - New Coverage,Organization - Used Coverage,Organization - Closed deals,Organization - Open deals
Joe Machens Capital City Ford,"807 Southwest Blvd, Jefferson City, MO 65109, USA","807, Southwest Boulevard, Jefferson City, Cole County, Missouri, 65109, United States",38.577773,-92.200375,,,,0,8
Joe Machens CDJR,"1310 Vandiver Drive, Columbia, MO, USA","1310, Vandiver Drive, Columbia, Columbia Township, Boone County, Missouri, 65202, United States of America",38.971117,-92.3201024,,ShortCut,ShortCut Pack,0,0
Joe Machens Ford - Columbia,"1911 W Worley St, Columbia, MO, USA","1911, West Worley Street, Columbia, Boone County, Missouri, 65203, United States",38.960848,-92.3671085,,NA,NA,0,11
Joe Machens Hyundai,"1300 Vandiver Dr, Columbia, MO 65202, USA","1300, Vandiver Drive, Columbia, Columbia Township, Boone County, Missouri, 65202, United States of America",38.9711176,-92.3203335,Non-Local,,,0,11
Joe Machens Nissan,"201 Nebraska Ave, Columbia, MO 65203, USA","201, Nebraska Avenue, Columbia, Boone County, Missouri, 65203, United States of America",38.966624,-92.334848,Non-Local,,ShortCut Pack,0,37
Joe Machens Toyota,"1180 Vandiver Dr, Columbia, MO 65202, USA","1180, Vandiver Drive, Columbia, Columbia Township, Boone County, Missouri, 65202, United States of America",38.9711237,-92.3230257,,,,0,25
KIA Of Columbia,"710 Business Loop 70 West, Columbia, MO 65203, USA","Business Loop 70 West, Columbia, Boone County, Missouri, 65202, United States of America",38.96767,-92.3631493,Non-Local,ShortCut,ShortCut Pack,0,31
Land Rover St. Louis,"11654 Olive Blvd, Creve Coeur, MO 63141","11654, Olive Boulevard, Creve Coeur, Saint Louis County, Missouri, 63141, United States of America",38.6706842,-90.439719,Local,,,0,1
Mayse Automotive,"2032 S Elliott Ave, Aurora, MO 65605, USA","2032, South Elliott Avenue, Aurora, Lawrence County, Missouri, 65605, United States of America",36.9516044,-93.7183576,,,,0,2
Mazda of Columbia,"1717 N Providence Road, Columbia, MO 65202","1717, North Providence Road, Columbia, Boone County, Missouri, 65202, United States of America",38.9708255,-92.333717,,,,0,1
MB/Audi/VW of Quad Cities,"1777 E 53rd St, Davenport, IA 52807, USA","1777, East 53rd Street, Davenport, Scott County, Iowa, 52807, United States of America",41.5746412,-90.5491632,,,,0,0
Mercedes-Benz of Chesterfield,"951 Technology Dr, O'Fallon, MO 63368, USA","951, Technology Drive, Weldon Spring, Saint Charles County, Missouri, 63368, United States",38.7134449,-90.6924212,Local,,,0,1
Mercedes-Benz of St. Louis,"1048 Hampton Ave, St. Louis, MO 63139","1048, Hampton Avenue, Clayton-Tamm, Gratiot, Saint Louis, Missouri, 63139, United States",38.6298917,-90.2869493,Local,,,0,0
Mini of St. Louis,"MINI of St Louis, Sunnen Drive, Maplewood, MO, USA","Mini of St. Louis, Sunnen Drive, Maplewood, Saint Louis County, Missouri, 63143, United States of America",38.6070157,-90.3316875,Local,Custom,Custom,0,23
Mungenast & Burkard Alton Toyota,"850 E Homer M Adams Pkwy, Alton, IL 62002, USA","Homer M Adams Parkway, Alton, Madison County, Illinois, 62002, United States of America",38.9101124,-90.1344952,Local,,,0,2
Mungenast Alton Toyota,"850 E Homer M Adams Pkwy Alton, IL 62002","Homer M Adams Parkway, Alton, Madison County, Illinois, 62002, United States of America",38.9101124,-90.1344952,Local,,,0,0
Mungenast Lexus of St. Louis,"13700 Manchester Rd, Manchester, MO 63021, USA","Manchester Road, Manchester, Saint Louis County, Missouri, 63021, United States of America",38.593189,-90.517885,Local,,,0,11
Mungenast St. Louis Acura,"13720 Manchester Rd, Manchester, MO 63011","Manchester Road, Manchester, Saint Louis County, Missouri, 63021, United States",38.5931835,-90.5199056,Local,,,0,7
Mungenast St. Louis Honda,"13720 Manchester Rd, Manchester, MO 63011","Manchester Road, Manchester, Saint Louis County, Missouri, 63021, United States of America",38.5931835,-90.5199056,Local,,,0,0
